Time	TH	ErrTH	H	Prob[A--B--C]	ErrProb[A--B--C]	Prob[<nil>]	ErrProb[<nil>]	Prob[D]	ErrProb[D]	Prob[T]	ErrProb[T]	Prob[B--T--C--D]	ErrProb[B--T--C--D]	Prob[A--C]	ErrProb[A--C]	Prob[T--D]	ErrProb[T--D]	Prob[A--B--T]	ErrProb[A--B--T]	Prob[A--B--T--C--D]	ErrProb[A--B--T--C--D]	Prob[B--C--D]	ErrProb[B--C--D]	Prob[T--C--D]	ErrProb[T--C--D]	Prob[B--T--D]	ErrProb[B--T--D]	Prob[C]	ErrProb[C]	Prob[A--T--C--D]	ErrProb[A--T--C--D]	Prob[B--D]	ErrProb[B--D]	Prob[B--T]	ErrProb[B--T]	Prob[A--B--T--C]	ErrProb[A--B--T--C]	Prob[B--T--C]	ErrProb[B--T--C]	Prob[T--C]	ErrProb[T--C]	Prob[A--B--T--D]	ErrProb[A--B--T--D]	Prob[A--T--C]	ErrProb[A--T--C]	Prob[A--D]	ErrProb[A--D]	Prob[B--C]	ErrProb[B--C]	Prob[C--D]	ErrProb[C--D]	Prob[A--T]	ErrProb[A--T]	Prob[A--C--D]	ErrProb[A--C--D]	Prob[A--B--D]	ErrProb[A--B--D]	Prob[A--B]	ErrProb[A--B]	Prob[B]	ErrProb[B]	Prob[A--T--D]	ErrProb[A--T--D]	Prob[A]	ErrProb[A]	Prob[A--B--C--D]	ErrProb[A--B--C--D]	
0.0000	0.6852	0.0007	4.9994	0.031011	0.000244	0.033300	0.000251	0.033409	0.000251	0.030019	0.000238	0.031642	0.000245	0.031063	0.000245	0.030297	0.000239	0.030697	0.000243	0.030704	0.000242	0.031715	0.000246	0.030604	0.000240	0.031360	0.000244	0.033437	0.000251	0.031441	0.000246	0.031228	0.000244	0.030952	0.000243	0.031003	0.000244	0.031348	0.000244	0.030262	0.000239	0.030406	0.000241	0.031148	0.000245	0.031084	0.000245	0.031328	0.000244	0.033861	0.000253	0.030882	0.000244	0.031293	0.000246	0.030409	0.000241	0.030658	0.000242	0.031081	0.000243	0.031134	0.000245	0.030588	0.000243	0.030634	0.000242	
0.0100	0.6708	0.0007	4.9948	0.030644	0.000242	0.036738	0.000263	0.037597	0.000266	0.027473	0.000228	0.032134	0.000247	0.030736	0.000243	0.028343	0.000231	0.029769	0.000239	0.029801	0.000239	0.032322	0.000248	0.029183	0.000235	0.031299	0.000244	0.037659	0.000266	0.032066	0.000248	0.031129	0.000244	0.030318	0.000240	0.030722	0.000243	0.031333	0.000244	0.028291	0.000231	0.028935	0.000236	0.031136	0.000245	0.030747	0.000244	0.031300	0.000244	0.038787	0.000270	0.030238	0.000241	0.031592	0.000247	0.028956	0.000236	0.029765	0.000239	0.030459	0.000241	0.031084	0.000245	0.029697	0.000239	0.029745	0.000239	
0.0200	0.6569	0.0007	4.9868	0.030282	0.000241	0.039813	0.000274	0.041541	0.000279	0.025244	0.000219	0.032645	0.000249	0.030406	0.000242	0.026592	0.000224	0.028842	0.000235	0.028956	0.000236	0.032826	0.000250	0.027892	0.000229	0.031187	0.000244	0.041619	0.000280	0.032650	0.000251	0.030973	0.000243	0.029704	0.000238	0.030428	0.000241	0.031268	0.000244	0.026539	0.000224	0.027580	0.000230	0.031083	0.000245	0.030439	0.000242	0.031280	0.000244	0.043739	0.000286	0.029607	0.000239	0.031899	0.000248	0.027575	0.000230	0.028898	0.000235	0.029811	0.000238	0.030996	0.000244	0.028817	0.000236	0.028870	0.000235	
0.0300	0.6434	0.0007	4.9760	0.029945	0.000240	0.042625	0.000283	0.045330	0.000292	0.023227	0.000210	0.033118	0.000251	0.030110	0.000241	0.025002	0.000217	0.027985	0.000232	0.028139	0.000232	0.033253	0.000252	0.026690	0.000224	0.030988	0.000243	0.045446	0.000292	0.033217	0.000253	0.030799	0.000242	0.029089	0.000236	0.030147	0.000240	0.031186	0.000244	0.024931	0.000217	0.026272	0.000225	0.030988	0.000244	0.030102	0.000241	0.031213	0.000244	0.048656	0.000302	0.028973	0.000236	0.032187	0.000249	0.026253	0.000225	0.028017	0.000232	0.029175	0.000236	0.030931	0.000244	0.027961	0.000233	0.028043	0.000232	
0.0400	0.6305	0.0007	4.9629	0.029652	0.000238	0.045104	0.000291	0.048965	0.000303	0.021483	0.000202	0.033552	0.000253	0.029775	0.000240	0.023554	0.000211	0.027155	0.000228	0.027362	0.000229	0.033600	0.000253	0.025656	0.000220	0.030793	0.000242	0.049061	0.000303	0.033703	0.000254	0.030554	0.000241	0.028476	0.000233	0.029789	0.000239	0.031082	0.000243	0.023487	0.000211	0.025019	0.000220	0.030930	0.000244	0.029747	0.000240	0.031156	0.000244	0.053531	0.000316	0.028353	0.000234	0.032499	0.000250	0.025035	0.000220	0.027195	0.000229	0.028531	0.000234	0.030852	0.000244	0.027138	0.000229	0.027213	0.000229	
0.0500	0.6180	0.0007	4.9480	0.029331	0.000237	0.047372	0.000298	0.052453	0.000313	0.019921	0.000194	0.033906	0.000254	0.029460	0.000239	0.022229	0.000205	0.026342	0.000225	0.026598	0.000226	0.033939	0.000254	0.024707	0.000216	0.030518	0.000241	0.052531	0.000313	0.034251	0.000256	0.030309	0.000241	0.027848	0.000231	0.029422	0.000238	0.030978	0.000243	0.022213	0.000205	0.023863	0.000215	0.030792	0.000244	0.029423	0.000238	0.031077	0.000243	0.058407	0.000329	0.027737	0.000231	0.032745	0.000251	0.023843	0.000214	0.026379	0.000225	0.027874	0.000231	0.030753	0.000243	0.026328	0.000226	0.026451	0.000226	
0.0600	0.6059	0.0007	4.9316	0.028957	0.000236	0.049431	0.000304	0.055794	0.000322	0.018542	0.000188	0.034235	0.000255	0.029126	0.000237	0.021024	0.000200	0.025564	0.000222	0.025863	0.000223	0.034219	0.000255	0.023846	0.000212	0.030140	0.000240	0.055888	0.000323	0.034751	0.000258	0.030072	0.000240	0.027222	0.000228	0.029088	0.000236	0.030864	0.000243	0.021050	0.000200	0.022786	0.000210	0.030653	0.000243	0.029099	0.000237	0.031010	0.000243	0.063260	0.000342	0.027095	0.000229	0.033018	0.000252	0.022708	0.000209	0.025545	0.000222	0.027254	0.000228	0.030625	0.000243	0.025556	0.000223	0.025717	0.000222	
0.0700	0.5942	0.0007	4.9139	0.028612	0.000234	0.051310	0.000310	0.058904	0.000331	0.017325	0.000182	0.034534	0.000256	0.028798	0.000236	0.019931	0.000195	0.024812	0.000219	0.025110	0.000220	0.034424	0.000256	0.023023	0.000209	0.029828	0.000239	0.059092	0.000331	0.035248	0.000260	0.029730	0.000238	0.026604	0.000226	0.028749	0.000235	0.030717	0.000242	0.019990	0.000195	0.021767	0.000205	0.030526	0.000243	0.028777	0.000236	0.030886	0.000243	0.068183	0.000354	0.026483	0.000226	0.033273	0.000253	0.021653	0.000205	0.024751	0.000218	0.026630	0.000226	0.030492	0.000242	0.024795	0.000219	0.025045	0.000220	
0.0800	0.5828	0.0007	4.8951	0.028261	0.000233	0.053017	0.000315	0.061963	0.000339	0.016187	0.000175	0.034739	0.000257	0.028482	0.000235	0.018894	0.000189	0.024047	0.000215	0.024450	0.000217	0.034664	0.000257	0.022333	0.000206	0.029490	0.000237	0.062244	0.000340	0.035699	0.000262	0.029341	0.000237	0.025995	0.000223	0.028420	0.000234	0.030607	0.000242	0.019046	0.000190	0.020820	0.000201	0.030334	0.000242	0.028460	0.000235	0.030692	0.000242	0.073013	0.000366	0.025889	0.000224	0.033511	0.000254	0.020660	0.000200	0.023972	0.000215	0.026030	0.000223	0.030344	0.000242	0.024061	0.000216	0.024336	0.000217	
0.0900	0.5717	0.0007	4.8755	0.027910	0.000232	0.054507	0.000319	0.064904	0.000346	0.015169	0.000170	0.034892	0.000258	0.028149	0.000233	0.017998	0.000185	0.023336	0.000212	0.023829	0.000214	0.034841	0.000257	0.021700	0.000203	0.029131	0.000236	0.065263	0.000347	0.036151	0.000263	0.028910	0.000235	0.025372	0.000221	0.028112	0.000232	0.030471	0.000241	0.018136	0.000186	0.019891	0.000196	0.030136	0.000241	0.028122	0.000233	0.030511	0.000241	0.077878	0.000377	0.025276	0.000221	0.033741	0.000255	0.019759	0.000196	0.023252	0.000212	0.025481	0.000221	0.030175	0.000241	0.023347	0.000213	0.023649	0.000214	
0.1000	0.5610	0.0007	4.8551	0.027510	0.000230	0.055916	0.000323	0.067703	0.000353	0.014231	0.000165	0.035033	0.000258	0.027813	0.000232	0.017199	0.000181	0.022603	0.000209	0.023234	0.000212	0.034998	0.000258	0.021070	0.000200	0.028747	0.000235	0.068119	0.000354	0.036609	0.000265	0.028474	0.000234	0.024784	0.000218	0.027772	0.000231	0.030338	0.000241	0.017365	0.000182	0.019006	0.000192	0.029967	0.000240	0.027799	0.000232	0.030320	0.000241	0.082758	0.000388	0.024641	0.000219	0.033934	0.000255	0.018901	0.000191	0.022581	0.000209	0.024901	0.000219	0.029995	0.000241	0.022663	0.000210	0.023016	0.000211	
0.1100	0.5507	0.0007	4.8342	0.027137	0.000228	0.057157	0.000327	0.070393	0.000360	0.013422	0.000160	0.035078	0.000258	0.027488	0.000231	0.016455	0.000177	0.021937	0.000206	0.022655	0.000209	0.035123	0.000259	0.020514	0.000197	0.028360	0.000233	0.070868	0.000361	0.037052	0.000266	0.028001	0.000232	0.024176	0.000215	0.027389	0.000229	0.030187	0.000240	0.016702	0.000178	0.018169	0.000188	0.029795	0.000240	0.027484	0.000231	0.030139	0.000240	0.087631	0.000398	0.024066	0.000216	0.034141	0.000256	0.018089	0.000187	0.021893	0.000206	0.024328	0.000216	0.029806	0.000240	0.021984	0.000207	0.022381	0.000208	
0.1200	0.5405	0.0007	4.8127	0.026773	0.000227	0.058240	0.000330	0.073008	0.000366	0.012666	0.000155	0.035154	0.000259	0.027152	0.000229	0.015748	0.000173	0.021259	0.000203	0.022121	0.000207	0.035112	0.000259	0.019969	0.000195	0.027902	0.000231	0.073555	0.000367	0.037473	0.000268	0.027559	0.000230	0.023629	0.000213	0.027037	0.000228	0.029992	0.000239	0.016120	0.000175	0.017381	0.000184	0.029599	0.000239	0.027139	0.000229	0.029997	0.000239	0.092554	0.000408	0.023484	0.000214	0.034340	0.000257	0.017309	0.000183	0.021216	0.000203	0.023751	0.000214	0.029612	0.000239	0.021344	0.000204	0.021809	0.000205	
0.1300	0.5307	0.0007	4.7906	0.026384	0.000225	0.059260	0.000332	0.075406	0.000372	0.011971	0.000151	0.035203	0.000259	0.026804	0.000228	0.015110	0.000170	0.020593	0.000200	0.021586	0.000204	0.035104	0.000258	0.019507	0.000192	0.027476	0.000230	0.076231	0.000373	0.037883	0.000269	0.027088	0.000228	0.023066	0.000211	0.026666	0.000227	0.029814	0.000239	0.015493	0.000172	0.016656	0.000180	0.029421	0.000238	0.026803	0.000228	0.029843	0.000239	0.097475	0.000418	0.022924	0.000211	0.034547	0.000258	0.016569	0.000179	0.020576	0.000200	0.023200	0.000211	0.029369	0.000238	0.020713	0.000201	0.021258	0.000203	
0.1400	0.5211	0.0007	4.7685	0.026028	0.000224	0.060108	0.000335	0.077787	0.000377	0.011378	0.000147	0.035214	0.000259	0.026479	0.000227	0.014506	0.000166	0.019995	0.000197	0.021032	0.000202	0.035100	0.000258	0.019133	0.000191	0.027015	0.000228	0.078787	0.000379	0.038315	0.000271	0.026643	0.000226	0.022498	0.000208	0.026277	0.000225	0.029618	0.000238	0.015034	0.000169	0.015988	0.000176	0.029226	0.000238	0.026483	0.000227	0.029565	0.000238	0.102321	0.000427	0.022360	0.000208	0.034717	0.000258	0.015848	0.000175	0.019931	0.000197	0.022641	0.000209	0.029137	0.000237	0.020108	0.000198	0.020726	0.000200	
0.1500	0.5117	0.0007	4.7459	0.025665	0.000222	0.060902	0.000337	0.080074	0.000382	0.010857	0.000144	0.035183	0.000259	0.026146	0.000225	0.014002	0.000163	0.019407	0.000194	0.020547	0.000199	0.035038	0.000258	0.018733	0.000189	0.026525	0.000226	0.081331	0.000385	0.038696	0.000272	0.026163	0.000224	0.021944	0.000206	0.025919	0.000223	0.029390	0.000237	0.014513	0.000166	0.015323	0.000173	0.029025	0.000237	0.026140	0.000225	0.029336	0.000237	0.107161	0.000436	0.021808	0.000206	0.034898	0.000259	0.015213	0.000172	0.019298	0.000193	0.022096	0.000206	0.028948	0.000236	0.019518	0.000195	0.020200	0.000198	
0.1600	0.5025	0.0007	4.7226	0.025292	0.000221	0.061690	0.000339	0.082323	0.000387	0.010271	0.000140	0.035203	0.000259	0.025784	0.000224	0.013461	0.000160	0.018832	0.000191	0.020021	0.000197	0.034927	0.000258	0.018440	0.000187	0.026016	0.000224	0.083749	0.000390	0.039116	0.000274	0.025680	0.000222	0.021431	0.000203	0.025529	0.000222	0.029181	0.000236	0.014001	0.000163	0.014733	0.000169	0.028790	0.000236	0.025822	0.000224	0.029113	0.000236	0.112010	0.000444	0.021293	0.000204	0.035072	0.000260	0.014566	0.000168	0.018716	0.000191	0.021540	0.000204	0.028732	0.000236	0.018939	0.000192	0.019728	0.000195	
0.1700	0.4935	0.0007	4.6993	0.024900	0.000219	0.062307	0.000340	0.084481	0.000392	0.009798	0.000137	0.035137	0.000259	0.025458	0.000222	0.012985	0.000157	0.018264	0.000188	0.019588	0.000195	0.034897	0.000258	0.018109	0.000185	0.025531	0.000222	0.086070	0.000395	0.039488	0.000275	0.025194	0.000220	0.020909	0.000201	0.025178	0.000220	0.028954	0.000235	0.013609	0.000161	0.014191	0.000166	0.028530	0.000235	0.025487	0.000222	0.028841	0.000235	0.116898	0.000453	0.020760	0.000201	0.035251	0.000260	0.013958	0.000165	0.018143	0.000188	0.021000	0.000201	0.028495	0.000235	0.018382	0.000190	0.019207	0.000193	
0.1800	0.4848	0.0007	4.6759	0.024506	0.000217	0.062846	0.000342	0.086550	0.000396	0.009388	0.000134	0.035074	0.000258	0.025147	0.000221	0.012600	0.000155	0.017692	0.000185	0.019134	0.000193	0.034753	0.000257	0.017820	0.000184	0.024996	0.000219	0.088249	0.000400	0.039828	0.000276	0.024752	0.000218	0.020404	0.000198	0.024885	0.000219	0.028669	0.000234	0.013271	0.000159	0.013632	0.000163	0.028298	0.000234	0.025144	0.000221	0.028605	0.000234	0.121808	0.000461	0.020238	0.000199	0.035427	0.000261	0.013387	0.000161	0.017580	0.000185	0.020460	0.000199	0.028275	0.000234	0.017839	0.000187	0.018743	0.000191	
0.1900	0.4763	0.0007	4.6523	0.024094	0.000216	0.063353	0.000343	0.088564	0.000400	0.008998	0.000131	0.034931	0.000258	0.024815	0.000220	0.012227	0.000153	0.017134	0.000183	0.018753	0.000191	0.034665	0.000257	0.017492	0.000182	0.024488	0.000217	0.090332	0.000404	0.040178	0.000277	0.024262	0.000216	0.019897	0.000196	0.024525	0.000218	0.028412	0.000233	0.012965	0.000157	0.013125	0.000160	0.028060	0.000233	0.024821	0.000220	0.028407	0.000233	0.126725	0.000469	0.019732	0.000196	0.035608	0.000262	0.012857	0.000158	0.017037	0.000182	0.019926	0.000196	0.028045	0.000233	0.017305	0.000184	0.018267	0.000188	
0.2000	0.4680	0.0007	4.6284	0.023759	0.000214	0.063784	0.000344	0.090435	0.000404	0.008621	0.000128	0.034806	0.000257	0.024481	0.000218	0.011855	0.000150	0.016614	0.000180	0.018398	0.000189	0.034539	0.000257	0.017276	0.000181	0.023965	0.000215	0.092541	0.000408	0.040501	0.000278	0.023760	0.000214	0.019359	0.000193	0.024155	0.000216	0.028219	0.000232	0.012636	0.000155	0.012648	0.000157	0.027851	0.000232	0.024492	0.000218	0.028129	0.000232	0.131544	0.000476	0.019233	0.000194	0.035740	0.000262	0.012347	0.000155	0.016471	0.000179	0.019398	0.000193	0.027788	0.000232	0.016800	0.000181	0.017854	0.000186	
0.2100	0.4597	0.0007	4.6042	0.023363	0.000212	0.064129	0.000345	0.092259	0.000408	0.008229	0.000125	0.034619	0.000257	0.024183	0.000217	0.011546	0.000148	0.016116	0.000177	0.018009	0.000187	0.034425	0.000256	0.017054	0.000180	0.023441	0.000213	0.094634	0.000412	0.040808	0.000279	0.023279	0.000212	0.018837	0.000191	0.023838	0.000214	0.028012	0.000232	0.012308	0.000153	0.012205	0.000154	0.027608	0.000231	0.024145	0.000217	0.027844	0.000231	0.136482	0.000484	0.018742	0.000191	0.035857	0.000262	0.011876	0.000152	0.015983	0.000176	0.018870	0.000191	0.027554	0.000231	0.016299	0.000179	0.017446	0.000184	
0.2200	0.4517	0.0007	4.5800	0.022944	0.000211	0.064406	0.000346	0.093902	0.000411	0.007974	0.000123	0.034415	0.000256	0.023870	0.000215	0.011237	0.000147	0.015627	0.000174	0.017633	0.000185	0.034294	0.000256	0.016784	0.000179	0.022927	0.000210	0.096636	0.000416	0.041081	0.000280	0.022793	0.000210	0.018327	0.000188	0.023554	0.000213	0.027757	0.000231	0.012058	0.000151	0.011785	0.000152	0.027346	0.000230	0.023805	0.000215	0.027581	0.000230	0.141552	0.000491	0.018269	0.000189	0.036003	0.000263	0.011436	0.000149	0.015476	0.000174	0.018376	0.000188	0.027275	0.000230	0.015820	0.000176	0.017056	0.000182	
0.2300	0.4439	0.0007	4.5557	0.022539	0.000209	0.064687	0.000346	0.095509	0.000414	0.007676	0.000121	0.034226	0.000255	0.023526	0.000214	0.010902	0.000144	0.015157	0.000172	0.017264	0.000183	0.034108	0.000255	0.016601	0.000178	0.022498	0.000208	0.098572	0.000420	0.041363	0.000281	0.022274	0.000207	0.017815	0.000186	0.023221	0.000212	0.027511	0.000230	0.011826	0.000150	0.011349	0.000149	0.027147	0.000229	0.023485	0.000214	0.027340	0.000229	0.146522	0.000498	0.017787	0.000186	0.036131	0.000263	0.011016	0.000147	0.014962	0.000171	0.017903	0.000186	0.026991	0.000229	0.015367	0.000174	0.016727	0.000180	
0.2400	0.4362	0.0007	4.5311	0.022221	0.000207	0.064909	0.000347	0.097187	0.000417	0.007370	0.000119	0.034065	0.000255	0.023195	0.000212	0.010561	0.000142	0.014701	0.000169	0.016941	0.000181	0.033922	0.000254	0.016390	0.000176	0.021994	0.000206	0.100466	0.000424	0.041606	0.000282	0.021751	0.000205	0.017326	0.000183	0.022928	0.000210	0.027301	0.000229	0.011592	0.000149	0.011000	0.000147	0.026899	0.000228	0.023177	0.000212	0.027011	0.000228	0.151402	0.000505	0.017349	0.000184	0.036282	0.000264	0.010617	0.000144	0.014449	0.000168	0.017459	0.000184	0.026686	0.000227	0.014913	0.000171	0.016327	0.000178	
0.2500	0.4286	0.0007	4.5062	0.021866	0.000206	0.065020	0.000347	0.098867	0.000421	0.007129	0.000117	0.033863	0.000254	0.022881	0.000211	0.010226	0.000140	0.014238	0.000167	0.016616	0.000180	0.033642	0.000253	0.016181	0.000175	0.021432	0.000203	0.102247	0.000427	0.041912	0.000283	0.021306	0.000203	0.016875	0.000181	0.022583	0.000209	0.027099	0.000228	0.011379	0.000147	0.010639	0.000144	0.026637	0.000227	0.022845	0.000211	0.026735	0.000226	0.156399	0.000512	0.016918	0.000182	0.036395	0.000264	0.010238	0.000141	0.013986	0.000165	0.016990	0.000181	0.026411	0.000226	0.014471	0.000168	0.015973	0.000176	
0.2600	0.4212	0.0007	4.4813	0.021512	0.000204	0.065139	0.000348	0.100365	0.000424	0.006878	0.000114	0.033670	0.000253	0.022584	0.000210	0.009907	0.000138	0.013848	0.000164	0.016313	0.000178	0.033396	0.000253	0.015978	0.000174	0.020941	0.000201	0.103981	0.000430	0.042160	0.000284	0.020872	0.000201	0.016368	0.000178	0.022274	0.000208	0.026835	0.000227	0.011203	0.000146	0.010272	0.000142	0.026367	0.000226	0.022518	0.000209	0.026425	0.000225	0.161412	0.000519	0.016477	0.000179	0.036496	0.000265	0.009866	0.000139	0.013533	0.000162	0.016562	0.000179	0.026170	0.000225	0.014052	0.000166	0.015623	0.000174	
0.2700	0.4139	0.0007	4.4562	0.021216	0.000203	0.065228	0.000348	0.101886	0.000426	0.006649	0.000113	0.033473	0.000253	0.022248	0.000208	0.009615	0.000136	0.013428	0.000162	0.016015	0.000176	0.033194	0.000252	0.015749	0.000173	0.020470	0.000199	0.105648	0.000433	0.042424	0.000284	0.020383	0.000198	0.015928	0.000176	0.021945	0.000206	0.026479	0.000225	0.011064	0.000145	0.009921	0.000139	0.026090	0.000225	0.022234	0.000208	0.026108	0.000224	0.166391	0.000525	0.016087	0.000177	0.036583	0.000265	0.009519	0.000136	0.013070	0.000160	0.016112	0.000177	0.025899	0.000224	0.013629	0.000164	0.015313	0.000172	
0.2800	0.4069	0.0007	4.4318	0.020801	0.000201	0.065206	0.000348	0.103204	0.000429	0.006395	0.000111	0.033171	0.000252	0.021934	0.000207	0.009398	0.000134	0.013001	0.000159	0.015811	0.000175	0.033017	0.000251	0.015651	0.000173	0.020011	0.000197	0.107371	0.000436	0.042669	0.000285	0.019871	0.000196	0.015511	0.000173	0.021642	0.000205	0.026178	0.000224	0.010894	0.000144	0.009566	0.000137	0.025841	0.000224	0.021948	0.000207	0.025919	0.000223	0.171239	0.000531	0.015729	0.000175	0.036649	0.000265	0.009210	0.000134	0.012693	0.000157	0.015657	0.000174	0.025635	0.000223	0.013204	0.000161	0.014973	0.000171	
0.2900	0.3999	0.0007	4.4070	0.020438	0.000199	0.065088	0.000348	0.104466	0.000431	0.006180	0.000109	0.032962	0.000251	0.021626	0.000205	0.009255	0.000133	0.012594	0.000157	0.015546	0.000174	0.032728	0.000250	0.015489	0.000172	0.019558	0.000195	0.109109	0.000439	0.042927	0.000286	0.019354	0.000194	0.015109	0.000171	0.021351	0.000203	0.025867	0.000223	0.010684	0.000143	0.009245	0.000134	0.025625	0.000223	0.021635	0.000205	0.025648	0.000222	0.176159	0.000537	0.015319	0.000173	0.036696	0.000265	0.008890	0.000132	0.012335	0.000155	0.015212	0.000172	0.025373	0.000222	0.012818	0.000159	0.014714	0.000169	
0.3000	0.3930	0.0007	4.3820	0.020107	0.000197	0.064965	0.000347	0.105647	0.000433	0.006008	0.000107	0.032739	0.000250	0.021303	0.000204	0.009035	0.000132	0.012225	0.000155	0.015310	0.000172	0.032500	0.000249	0.015297	0.000171	0.019115	0.000192	0.110760	0.000442	0.043143	0.000287	0.018949	0.000192	0.014662	0.000169	0.021021	0.000202	0.025604	0.000222	0.010483	0.000141	0.008931	0.000132	0.025412	0.000222	0.021331	0.000204	0.025340	0.000221	0.181104	0.000543	0.014930	0.000171	0.036803	0.000266	0.008543	0.000129	0.011930	0.000153	0.014814	0.000169	0.025115	0.000221	0.012445	0.000156	0.014430	0.000167	
0.3100	0.3863	0.0007	4.3568	0.019810	0.000196	0.064867	0.000347	0.106818	0.000436	0.005824	0.000106	0.032529	0.000249	0.021007	0.000202	0.008792	0.000130	0.011846	0.000152	0.015091	0.000171	0.032176	0.000248	0.015091	0.000169	0.018623	0.000190	0.112316	0.000445	0.043357	0.000287	0.018482	0.000189	0.014261	0.000166	0.020696	0.000200	0.025337	0.000221	0.010334	0.000140	0.008659	0.000130	0.025139	0.000221	0.021039	0.000203	0.025024	0.000219	0.186107	0.000549	0.014577	0.000169	0.036883	0.000266	0.008238	0.000127	0.011569	0.000150	0.014369	0.000167	0.024906	0.000220	0.012068	0.000154	0.014166	0.000166	
0.3200	0.3796	0.0007	4.3318	0.019506	0.000195	0.064714	0.000347	0.108011	0.000438	0.005683	0.000104	0.032255	0.000248	0.020700	0.000201	0.008598	0.000128	0.011529	0.000150	0.014841	0.000170	0.031905	0.000247	0.014932	0.000169	0.018164	0.000188	0.113769	0.000448	0.043595	0.000288	0.018021	0.000187	0.013841	0.000164	0.020348	0.000199	0.025055	0.000219	0.010207	0.000140	0.008408	0.000128	0.024876	0.000220	0.020756	0.000201	0.024722	0.000218	0.191082	0.000555	0.014187	0.000167	0.036939	0.000266	0.007951	0.000125	0.011189	0.000148	0.013951	0.000165	0.024622	0.000219	0.011715	0.000152	0.013930	0.000165	
0.3300	0.3730	0.0007	4.3062	0.019228	0.000193	0.064542	0.000346	0.109114	0.000440	0.005482	0.000102	0.031988	0.000247	0.020379	0.000199	0.008359	0.000127	0.011179	0.000148	0.014616	0.000168	0.031617	0.000246	0.014796	0.000168	0.017731	0.000185	0.115308	0.000450	0.043777	0.000289	0.017625	0.000185	0.013462	0.000162	0.020019	0.000197	0.024833	0.000218	0.010010	0.000138	0.008171	0.000126	0.024642	0.000219	0.020461	0.000200	0.024386	0.000217	0.196050	0.000560	0.013800	0.000164	0.037007	0.000266	0.007682	0.000123	0.010849	0.000146	0.013506	0.000162	0.024361	0.000217	0.011367	0.000150	0.013654	0.000163	
0.3400	0.3665	0.0007	4.2805	0.018883	0.000191	0.064327	0.000346	0.110201	0.000442	0.005310	0.000101	0.031747	0.000246	0.020092	0.000198	0.008130	0.000125	0.010837	0.000146	0.014376	0.000167	0.031284	0.000245	0.014641	0.000167	0.017323	0.000183	0.116725	0.000453	0.044030	0.000290	0.017170	0.000183	0.013062	0.000159	0.019709	0.000195	0.024573	0.000217	0.009806	0.000137	0.007914	0.000124	0.024384	0.000218	0.020153	0.000198	0.024079	0.000215	0.201107	0.000565	0.013416	0.000162	0.037023	0.000267	0.007464	0.000121	0.010510	0.000143	0.013153	0.000160	0.024110	0.000216	0.011034	0.000147	0.013427	0.000162	
0.3500	0.3602	0.0007	4.2549	0.018599	0.000190	0.064107	0.000345	0.111198	0.000443	0.005146	0.000099	0.031447	0.000245	0.019776	0.000196	0.007894	0.000123	0.010496	0.000143	0.014209	0.000166	0.030957	0.000244	0.014556	0.000166	0.016899	0.000181	0.118213	0.000455	0.044209	0.000290	0.016766	0.000180	0.012691	0.000157	0.019413	0.000194	0.024307	0.000216	0.009607	0.000135	0.007697	0.000123	0.024136	0.000217	0.019868	0.000197	0.023700	0.000214	0.206063	0.000571	0.013072	0.000160	0.037047	0.000267	0.007223	0.000119	0.010185	0.000141	0.012795	0.000158	0.023840	0.000215	0.010713	0.000145	0.013173	0.000160	
0.3600	0.3542	0.0007	4.2296	0.018274	0.000188	0.063834	0.000345	0.112180	0.000445	0.004967	0.000097	0.031175	0.000244	0.019502	0.000195	0.007695	0.000121	0.010186	0.000141	0.014009	0.000165	0.030621	0.000242	0.014397	0.000166	0.016512	0.000179	0.119501	0.000457	0.044388	0.000291	0.016356	0.000178	0.012315	0.000155	0.019143	0.000193	0.024023	0.000215	0.009439	0.000134	0.007451	0.000121	0.023893	0.000215	0.019554	0.000195	0.023375	0.000212	0.211049	0.000576	0.012766	0.000158	0.037031	0.000267	0.007025	0.000117	0.009851	0.000139	0.012462	0.000156	0.023611	0.000214	0.010379	0.000143	0.013037	0.000159	
0.3700	0.3483	0.0007	4.2048	0.017993	0.000187	0.063555	0.000344	0.113102	0.000447	0.004823	0.000096	0.030827	0.000243	0.019205	0.000194	0.007522	0.000120	0.009843	0.000139	0.013829	0.000164	0.030310	0.000241	0.014320	0.000165	0.016073	0.000177	0.120640	0.000459	0.044562	0.000291	0.015980	0.000176	0.012010	0.000153	0.018827	0.000191	0.023741	0.000214	0.009363	0.000134	0.007284	0.000119	0.023686	0.000215	0.019283	0.000194	0.023151	0.000211	0.216012	0.000581	0.012431	0.000156	0.037047	0.000267	0.006774	0.000115	0.009552	0.000137	0.012057	0.000153	0.023344	0.000213	0.010070	0.000141	0.012784	0.000158	
