Time	TH	ErrorTH	H	HD=0	HD=1	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba
0.1000	0.5610	0.0007	4.8551	0.5820	0.4180	A -- B -- T -- D	0.019006	0.000192	A	0.022663	0.000210	A -- C	0.027813	0.000232	A -- C -- D	0.033934	0.000255	A -- B -- T -- C	0.027772	0.000231	A -- B	0.022581	0.000209	A -- B -- D	0.018901	0.000191	A -- B -- C -- D	0.023016	0.000211	A -- D	0.027799	0.000232	A -- B -- C	0.027510	0.000230	A -- B -- T	0.022603	0.000209	A -- B -- T -- C -- D	0.023234	0.000212	A -- T -- C	0.029967	0.000240	A -- T	0.024641	0.000219	A -- T -- D	0.029995	0.000241	B -- T -- C -- D	0.035033	0.000258	<nil>	0.055916	0.000323	C	0.068119	0.000354	A -- T -- C -- D	0.036609	0.000265	T -- C	0.017365	0.000182	B -- C -- D	0.034998	0.000258	C -- D	0.082758	0.000388	B -- C	0.030320	0.000241	T -- C -- D	0.021070	0.000200	B -- T	0.024784	0.000218	B -- D	0.028474	0.000234	D	0.067703	0.000353	B -- T -- C	0.030338	0.000241	T -- D	0.017199	0.000181	B -- T -- D	0.028747	0.000235	B	0.024901	0.000219	T	0.014231	0.000165
0.1100	0.5507	0.0007	4.8342	0.5885	0.4115	A -- B -- T -- D	0.018169	0.000188	A	0.021984	0.000207	A -- B -- T -- C	0.027389	0.000229	A -- C	0.027488	0.000231	A -- C -- D	0.034141	0.000256	A -- B	0.021893	0.000206	A -- B -- D	0.018089	0.000187	A -- B -- C -- D	0.022381	0.000208	A -- D	0.027484	0.000231	A -- B -- C	0.027137	0.000228	A -- B -- T	0.021937	0.000206	A -- B -- T -- C -- D	0.022655	0.000209	A -- T -- C	0.029795	0.000240	A -- T	0.024066	0.000216	A -- T -- D	0.029806	0.000240	B -- T -- C -- D	0.035078	0.000258	T -- C -- D	0.020514	0.000197	<nil>	0.057157	0.000327	C	0.070868	0.000361	A -- T -- C -- D	0.037052	0.000266	T -- C	0.016702	0.000178	C -- D	0.087631	0.000398	B -- C -- D	0.035123	0.000259	B -- T	0.024176	0.000215	B -- D	0.028001	0.000232	B -- T -- C	0.030187	0.000240	B -- C	0.030139	0.000240	T -- D	0.016455	0.000177	D	0.070393	0.000360	B -- T -- D	0.028360	0.000233	B	0.024328	0.000216	T	0.013422	0.000160
0.1200	0.5405	0.0007	4.8127	0.5950	0.4050	A -- B -- T -- D	0.017381	0.000184	A	0.021344	0.000204	A -- B -- T -- C	0.027037	0.000228	A -- C	0.027152	0.000229	A -- C -- D	0.034340	0.000257	A -- B	0.021216	0.000203	A -- B -- D	0.017309	0.000183	A -- B -- C -- D	0.021809	0.000205	A -- D	0.027139	0.000229	A -- B -- C	0.026773	0.000227	A -- B -- T	0.021259	0.000203	A -- B -- T -- C -- D	0.022121	0.000207	A -- T -- C	0.029599	0.000239	A -- T	0.023484	0.000214	A -- T -- D	0.029612	0.000239	B -- T -- C -- D	0.035154	0.000259	T -- C -- D	0.019969	0.000195	<nil>	0.058240	0.000330	C	0.073555	0.000367	A -- T -- C -- D	0.037473	0.000268	T -- C	0.016120	0.000175	C -- D	0.092554	0.000408	B -- C -- D	0.035112	0.000259	B -- T	0.023629	0.000213	B -- D	0.027559	0.000230	B -- T -- C	0.029992	0.000239	B -- C	0.029997	0.000239	D	0.073008	0.000366	B -- T -- D	0.027902	0.000231	B	0.023751	0.000214	T	0.012666	0.000155	T -- D	0.015748	0.000173
0.1300	0.5307	0.0007	4.7906	0.6012	0.3988	A -- B -- T -- D	0.016656	0.000180	A	0.020713	0.000201	A -- B -- T -- C	0.026666	0.000227	A -- C	0.026804	0.000228	A -- C -- D	0.034547	0.000258	A -- B	0.020576	0.000200	A -- B -- D	0.016569	0.000179	A -- B -- C -- D	0.021258	0.000203	A -- D	0.026803	0.000228	A -- B -- C	0.026384	0.000225	A -- B -- T	0.020593	0.000200	A -- B -- T -- C -- D	0.021586	0.000204	A -- T	0.022924	0.000211	A -- T -- D	0.029369	0.000238	A -- T -- C	0.029421	0.000238	T	0.011971	0.000151	T -- C -- D	0.019507	0.000192	<nil>	0.059260	0.000332	C	0.076231	0.000373	A -- T -- C -- D	0.037883	0.000269	T -- C	0.015493	0.000172	C -- D	0.097475	0.000418	B -- C -- D	0.035104	0.000258	B -- T	0.023066	0.000211	B -- D	0.027088	0.000228	B -- T -- C	0.029814	0.000239	B -- C	0.029843	0.000239	D	0.075406	0.000372	B -- T -- D	0.027476	0.000230	B	0.023200	0.000211	T -- D	0.015110	0.000170	B -- T -- C -- D	0.035203	0.000259
0.1400	0.5211	0.0007	4.7685	0.6073	0.3927	A -- B -- T -- D	0.015988	0.000176	A	0.020108	0.000198	A -- C	0.026479	0.000227	A -- C -- D	0.034717	0.000258	A -- B	0.019931	0.000197	A -- B -- D	0.015848	0.000175	A -- B -- C -- D	0.020726	0.000200	A -- D	0.026483	0.000227	A -- B -- T -- C	0.026277	0.000225	A -- B -- C	0.026028	0.000224	A -- B -- T	0.019995	0.000197	A -- B -- T -- C -- D	0.021032	0.000202	A -- T	0.022360	0.000208	A -- T -- D	0.029137	0.000237	A -- T -- C	0.029226	0.000238	T	0.011378	0.000147	T -- C -- D	0.019133	0.000191	<nil>	0.060108	0.000335	C	0.078787	0.000379	A -- T -- C -- D	0.038315	0.000271	T -- C	0.015034	0.000169	C -- D	0.102321	0.000427	B -- C -- D	0.035100	0.000258	B -- T	0.022498	0.000208	B -- D	0.026643	0.000226	B -- T -- C	0.029618	0.000238	B -- C	0.029565	0.000238	D	0.077787	0.000377	B -- T -- D	0.027015	0.000228	B	0.022641	0.000209	T -- D	0.014506	0.000166	B -- T -- C -- D	0.035214	0.000259
0.1500	0.5117	0.0007	4.7459	0.6132	0.3868	A	0.019518	0.000195	A -- B -- T -- D	0.015323	0.000173	A -- C	0.026146	0.000225	A -- C -- D	0.034898	0.000259	A -- B	0.019298	0.000193	A -- B -- D	0.015213	0.000172	A -- B -- C -- D	0.020200	0.000198	A -- D	0.026140	0.000225	A -- B -- T -- C	0.025919	0.000223	A -- B -- C	0.025665	0.000222	A -- B -- T	0.019407	0.000194	A -- B -- T -- C -- D	0.020547	0.000199	A -- T	0.021808	0.000206	A -- T -- D	0.028948	0.000236	A -- T -- C	0.029025	0.000237	T	0.010857	0.000144	B -- T	0.021944	0.000206	T -- C -- D	0.018733	0.000189	<nil>	0.060902	0.000337	C -- D	0.107161	0.000436	C	0.081331	0.000385	A -- T -- C -- D	0.038696	0.000272	T -- C	0.014513	0.000166	B -- D	0.026163	0.000224	B -- T -- C	0.029390	0.000237	B -- C	0.029336	0.000237	D	0.080074	0.000382	B -- T -- D	0.026525	0.000226	B	0.022096	0.000206	B -- C -- D	0.035038	0.000258	T -- D	0.014002	0.000163	B -- T -- C -- D	0.035183	0.000259
0.1600	0.5025	0.0007	4.7226	0.6190	0.3810	A	0.018939	0.000192	A -- B -- T -- D	0.014733	0.000169	A -- C	0.025784	0.000224	A -- C -- D	0.035072	0.000260	A -- B	0.018716	0.000191	A -- B -- D	0.014566	0.000168	A -- B -- C -- D	0.019728	0.000195	A -- D	0.025822	0.000224	A -- B -- T -- C	0.025529	0.000222	A -- B -- C	0.025292	0.000221	A -- B -- T	0.018832	0.000191	A -- B -- T -- C -- D	0.020021	0.000197	T	0.010271	0.000140	A -- T	0.021293	0.000204	A -- T -- C	0.028790	0.000236	A -- T -- D	0.028732	0.000236	B -- D	0.025680	0.000222	B -- T	0.021431	0.000203	<nil>	0.061690	0.000339	C -- D	0.112010	0.000444	C	0.083749	0.000390	A -- T -- C -- D	0.039116	0.000274	T -- C	0.014001	0.000163	B -- T -- C	0.029181	0.000236	B -- C	0.029113	0.000236	D	0.082323	0.000387	B -- T -- D	0.026016	0.000224	B	0.021540	0.000204	B -- C -- D	0.034927	0.000258	T -- D	0.013461	0.000160	T -- C -- D	0.018440	0.000187	B -- T -- C -- D	0.035203	0.000259
0.1700	0.4935	0.0007	4.6993	0.6247	0.3753	A	0.018382	0.000190	A -- B -- T -- D	0.014191	0.000166	A -- C	0.025458	0.000222	A -- C -- D	0.035251	0.000260	A -- B	0.018143	0.000188	A -- B -- D	0.013958	0.000165	A -- B -- C -- D	0.019207	0.000193	A -- D	0.025487	0.000222	A -- B -- T -- C	0.025178	0.000220	A -- B -- C	0.024900	0.000219	A -- B -- T	0.018264	0.000188	A -- B -- T -- C -- D	0.019588	0.000195	T	0.009798	0.000137	A -- T	0.020760	0.000201	A -- T -- C	0.028530	0.000235	A -- T -- D	0.028495	0.000235	B -- D	0.025194	0.000220	B -- T	0.020909	0.000201	<nil>	0.062307	0.000340	C -- D	0.116898	0.000453	C	0.086070	0.000395	A -- T -- C -- D	0.039488	0.000275	T -- C	0.013609	0.000161	D	0.084481	0.000392	B -- T -- C	0.028954	0.000235	B -- C	0.028841	0.000235	B -- T -- D	0.025531	0.000222	B	0.021000	0.000201	B -- C -- D	0.034897	0.000258	T -- D	0.012985	0.000157	T -- C -- D	0.018109	0.000185	B -- T -- C -- D	0.035137	0.000259
0.1800	0.4848	0.0007	4.6759	0.6302	0.3698	A	0.017839	0.000187	A -- B -- T -- D	0.013632	0.000163	A -- C	0.025147	0.000221	A -- B	0.017580	0.000185	A -- C -- D	0.035427	0.000261	A -- B -- D	0.013387	0.000161	A -- B -- C -- D	0.018743	0.000191	A -- D	0.025144	0.000221	A -- B -- C	0.024506	0.000217	A -- B -- T -- C	0.024885	0.000219	A -- B -- T	0.017692	0.000185	A -- B -- T -- C -- D	0.019134	0.000193	T	0.009388	0.000134	A -- T	0.020238	0.000199	A -- T -- C	0.028298	0.000234	A -- T -- D	0.028275	0.000234	D	0.086550	0.000396	B -- T	0.020404	0.000198	<nil>	0.062846	0.000342	C -- D	0.121808	0.000461	C	0.088249	0.000400	A -- T -- C -- D	0.039828	0.000276	T -- C	0.013271	0.000159	B -- T -- C	0.028669	0.000234	B -- C	0.028605	0.000234	B -- T -- D	0.024996	0.000219	B	0.020460	0.000199	B -- C -- D	0.034753	0.000257	T -- D	0.012600	0.000155	B -- D	0.024752	0.000218	T -- C -- D	0.017820	0.000184	B -- T -- C -- D	0.035074	0.000258
0.1900	0.4763	0.0007	4.6523	0.6356	0.3644	A	0.017305	0.000184	A -- B -- T -- D	0.013125	0.000160	A -- C	0.024815	0.000220	A -- B	0.017037	0.000182	A -- C -- D	0.035608	0.000262	A -- B -- D	0.012857	0.000158	A -- B -- C -- D	0.018267	0.000188	A -- D	0.024821	0.000220	A -- B -- C	0.024094	0.000216	A -- B -- T -- C	0.024525	0.000218	A -- B -- T	0.017134	0.000183	A -- B -- T -- C -- D	0.018753	0.000191	A -- T	0.019732	0.000196	A -- T -- C	0.028060	0.000233	A -- T -- D	0.028045	0.000233	B -- T -- C -- D	0.034931	0.000258	T	0.008998	0.000131	B -- T	0.019897	0.000196	<nil>	0.063353	0.000343	C -- D	0.126725	0.000469	C	0.090332	0.000404	A -- T -- C -- D	0.040178	0.000277	T -- C	0.012965	0.000157	D	0.088564	0.000400	B -- T -- C	0.028412	0.000233	B -- C	0.028407	0.000233	B -- T -- D	0.024488	0.000217	B	0.019926	0.000196	B -- C -- D	0.034665	0.000257	T -- D	0.012227	0.000153	B -- D	0.024262	0.000216	T -- C -- D	0.017492	0.000182
0.2000	0.4680	0.0007	4.6284	0.6409	0.3591	A	0.016800	0.000181	A -- B -- T -- D	0.012648	0.000157	A -- C	0.024481	0.000218	A -- B	0.016471	0.000179	A -- C -- D	0.035740	0.000262	A -- B -- D	0.012347	0.000155	A -- B -- C -- D	0.017854	0.000186	A -- D	0.024492	0.000218	A -- B -- C	0.023759	0.000214	A -- B -- T -- C	0.024155	0.000216	A -- B -- T	0.016614	0.000180	A -- B -- T -- C -- D	0.018398	0.000189	A -- T	0.019233	0.000194	A -- T -- C	0.027851	0.000232	A -- T -- D	0.027788	0.000232	B -- T	0.019359	0.000193	D	0.090435	0.000404	T	0.008621	0.000128	<nil>	0.063784	0.000344	C -- D	0.131544	0.000476	C	0.092541	0.000408	A -- T -- C -- D	0.040501	0.000278	T -- C	0.012636	0.000155	B -- T -- C	0.028219	0.000232	B -- C	0.028129	0.000232	B -- T -- D	0.023965	0.000215	B	0.019398	0.000193	T -- D	0.011855	0.000150	T -- C -- D	0.017276	0.000181	B -- C -- D	0.034539	0.000257	B -- T -- C -- D	0.034806	0.000257	B -- D	0.023760	0.000214
0.2100	0.4597	0.0007	4.6042	0.6460	0.3540	A	0.016299	0.000179	A -- B -- T -- D	0.012205	0.000154	A -- C	0.024183	0.000217	A -- B	0.015983	0.000176	A -- C -- D	0.035857	0.000262	A -- B -- D	0.011876	0.000152	A -- B -- C -- D	0.017446	0.000184	A -- D	0.024145	0.000217	A -- B -- C	0.023363	0.000212	A -- B -- T -- C	0.023838	0.000214	A -- B -- T	0.016116	0.000177	A -- B -- T -- C -- D	0.018009	0.000187	A -- T	0.018742	0.000191	A -- T -- C	0.027608	0.000231	A -- T -- D	0.027554	0.000231	B -- T	0.018837	0.000191	D	0.092259	0.000408	T	0.008229	0.000125	<nil>	0.064129	0.000345	C -- D	0.136482	0.000484	C	0.094634	0.000412	A -- T -- C -- D	0.040808	0.000279	T -- C	0.012308	0.000153	B -- T -- C	0.028012	0.000232	B -- C	0.027844	0.000231	B -- T -- D	0.023441	0.000213	B	0.018870	0.000191	T -- D	0.011546	0.000148	T -- C -- D	0.017054	0.000180	B -- C -- D	0.034425	0.000256	B -- T -- C -- D	0.034619	0.000257	B -- D	0.023279	0.000212
